Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
33	Unknown	282	0.549	0.612	0.742	152.04268	553270	4827087	8171.938	67.34940	41.151	0.829	0.993	0.369		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	67.34940	152.03453 127908;152.04268 431938;153.03810 9554;153.04358 27814;154.04733 28059;154.05031 61280	null
34	Unknown	282	0.549	0.612	0.742	155.04546	99806	853586	6901.388	14.42098	23.938	0.757	0.990	0.745		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	14.42098	155.04546 122275;156.04124 7296;156.04892 9156;157.04999 496923	null
35	Unknown	282	0.549	0.612	0.742	163.02412	367555	3183580	9884.195	36.71317	38.358	0.878	1.000	0.600		[M+CH3COO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	36.71317	163.01453 19492;163.02412 420583;164.02029 73829;165.01880 74906;165.02939 14545	null
36	Unknown	282	0.524	0.612	0.742	167.03435	531954	5296008	6003.380	88.27687	46.613	0.810	0.997	0.369		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	88.27687	167.03435 574883;168.02957 273023;168.03775 46388;168.04144 21636;169.02495 12335;169.03296 26889;169.03967 6012	53.33005 2042;55.85480 2079;58.08437 1976;68.99467 3400;69.35380 2042;70.81171 2007;71.87180 9089;71.87549 3533;83.01285 3944;85.70303 2191;86.68526 2256;90.29474 2222;91.35698 2614;108.02070 33112;109.02850 3728;123.03156 8788;123.04420 39622;123.05426 4030;123.08070 9264;143.51474 2186;152.01083 101690;157.82758 2199;167.02148 15108;167.03423 45157;167.04628 4512;167.07039 12949;167.10703 6499
37	Unknown	282	0.561	0.612	0.742	283.26440	1568619	12275560	4609.756	339.87330	72.982	0.692	0.999	0.265		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	339.87330	283.26440 1683133;284.26785 326570;285.27078 25498	null
38	Unknown	282	0.447	0.612	0.742	284.26785	298776	4250756	6123.633	48.73652	32.162	0.739	1.000	0.964		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	48.73652	284.26785 326570;285.27078 25498	null
39	Unknown	288	0.561	0.625	0.742	89.02338	6638688	54505990	325539.700	19.84043	148.326	0.840	1.000	0.419		[M-H2O-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	19.84043	89.01434 30023;89.02338 6886515;90.01862 41345;90.02671 176975;91.01804 12293;91.02110 30984;91.02761 32808;91.02924 18234	60.99183 182029;71.73845 44028;71.95395 97236;71.95799 110773;88.98685 97367;89.02321 202968
40	Unknown	288	0.573	0.625	0.742	98.02378	297413	2222929	5033.280	58.52267	30.933	0.613	0.994	0.401		[M-2H]2-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	58.52267	98.02378 315742;99.01911 129893	null
41	Unknown	288	0.549	0.625	0.742	99.00789	368831	3174155	9787.306	36.87437	42.394	0.552	0.990	0.206		[M-H2O-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	36.87437	99.00789 372976;100.00314 697888;100.01123 13355;100.01579 38054;101.00620 18806	null
42	Unknown	288	0.510	0.625	0.742	101.02355	823869	8861756	9515.671	85.64194	56.297	0.556	0.996	0.257		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	85.64194	101.02355 816668;102.01880 226612;102.02686 33782;103.01402 88366;103.02920 9722	57.03339 4952;57.46098 2561;72.95045 5099;83.67773 2274;85.72753 2515;99.92488 8689;100.92483 11561;100.93252 7455;101.02350 5772
